🕘️更新时间,#genre#
2026-08-14 00:27:04,http://www.frankgb.cn:4022/udp/239.49.8.19:9614

📺央视频道,#genre#
CCTV-1,http://www.frankgb.cn:4022/udp/239.49.8.19:9614
CCTV-2,http://www.frankgb.cn:4022/udp/239.49.8.50:9802
CCTV-3,http://www.frankgb.cn:4022/udp/239.49.8.74:8000
CCTV-4,http://www.frankgb.cn:4022/udp/239.49.8.51:9806
CCTV-5,http://www.frankgb.cn:4022/udp/239.49.8.75:8000
CCTV-5+,http://www.frankgb.cn:4022/udp/239.49.8.18:9610
CCTV-6,http://www.frankgb.cn:4022/udp/239.49.8.76:8000
CCTV-6,https://live.eac-news.com/CCTV/streams/cctv6.m3u8
CCTV-7,http://www.frankgb.cn:4022/udp/239.49.0.126:8000
CCTV-8,http://www.frankgb.cn:4022/udp/239.49.8.77:8000
CCTV-9,http://www.frankgb.cn:4022/udp/239.49.8.53:9814
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-10,http://www.frankgb.cn:4022/udp/239.49.8.54:9818
CCTV-11,http://www.frankgb.cn:4022/udp/239.49.0.127:8000
CCTV-12,http://www.frankgb.cn:4022/udp/239.49.8.55:9822
CCTV-13,http://www.frankgb.cn:4022/udp/239.49.8.109:8000
CCTV-14,http://www.frankgb.cn:4022/udp/239.49.8.56:9826
CCTV-15,http://www.frankgb.cn:4022/udp/239.49.0.128:8000
CCTV-15,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16,http://www.frankgb.cn:4022/udp/239.49.8.31:8000
CCTV-17,http://www.frankgb.cn:4022/udp/239.49.8.52:9810

📡卫视频道,#genre#
广东卫视,http://www.frankgb.cn:4022/udp/239.49.8.13:9422
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视,http://www.frankgb.cn:4022/udp/239.49.8.20:9618
湖南卫视,http://www.frankgb.cn:4022/udp/239.49.8.12:9418
北京卫视,http://www.frankgb.cn:4022/udp/239.49.8.11:9414
湖北卫视,http://www.frankgb.cn:4022/udp/239.49.8.8:9632
黑龙江卫视,http://www.frankgb.cn:4022/udp/239.49.8.14:9426
安徽卫视,http://www.frankgb.cn:4022/udp/239.49.8.80:8000
重庆卫视,http://www.frankgb.cn:4022/udp/239.49.8.57:9830
东方卫视,http://www.frankgb.cn:4022/udp/239.49.8.17:9606
东南卫视,http://www.frankgb.cn:4022/udp/239.49.8.112:8000
甘肃卫视,http://www.frankgb.cn:4022/udp/239.49.0.250:8000
广西卫视,http://www.frankgb.cn:4022/udp/239.49.8.10:8000
贵州卫视,http://www.frankgb.cn:4022/udp/239.49.8.49:8000
海南卫视,http://www.frankgb.cn:4022/udp/239.49.8.83:8000
河北卫视,http://www.frankgb.cn:4022/udp/239.49.8.114:8000
河南卫视,http://www.frankgb.cn:4022/udp/239.49.8.29:8000
吉林卫视,http://www.frankgb.cn:4022/udp/239.49.8.113:8000
江苏卫视,http://www.frankgb.cn:4022/udp/239.49.8.16:9602
江西卫视,http://www.frankgb.cn:4022/udp/239.49.8.111:8000
辽宁卫视,http://www.frankgb.cn:4022/udp/239.49.8.48:8000
宁夏卫视,http://www.frankgb.cn:4022/udp/239.49.1.60:8000
青海卫视,http://www.frankgb.cn:4022/udp/239.49.0.81:8000
山东卫视,http://www.frankgb.cn:4022/udp/239.49.8.7:9306
山西卫视,http://www.frankgb.cn:4022/udp/239.49.1.55:8000
四川卫视,http://www.frankgb.cn:4022/udp/239.49.8.110:8000
深圳卫视,http://www.frankgb.cn:4022/udp/239.49.8.15:9430
三沙卫视,http://www.frankgb.cn:4022/udp/239.49.0.167:8000
天津卫视,http://www.frankgb.cn:4022/udp/239.49.8.35:8620
西藏卫视,http://www.frankgb.cn:4022/udp/239.49.1.56:8000
新疆卫视,http://www.frankgb.cn:4022/udp/239.49.1.57:8000
云南卫视,http://www.frankgb.cn:4022/udp/239.49.0.177:8000

☘️广东频道,#genre#
广东珠江,https://gx.484947.xyz/PLTV/77777777/224/3221225717/index.m3u8
广东卫视,http://www.frankgb.cn:4022/udp/239.49.8.13:9422
深圳卫视,http://www.frankgb.cn:4022/udp/239.49.8.15:9430
