分类: 📺央视频道, 名称: CCTV-1, 有效: 3, IPv4: 8, IPv6: 0, 最小延迟: 76 ms, 最高速率: 2.82 MiB/s, 平均速率: 2.40 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 67 ms, 最高速率: 4.10 MiB/s, 平均速率: 2.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 78 ms, 最高速率: 5.10 MiB/s, 平均速率: 2.77 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 70 ms, 最高速率: 4.73 MiB/s, 平均速率: 4.32 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 2, IPv4: 5, IPv6: 0, 最小延迟: 219 ms, 最高速率: 0.65 MiB/s, 平均速率: 0.62 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: hevc, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 197 ms, 最高速率: 0.73 MiB/s, 平均速率: 0.65 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 78 ms, 最高速率: 1.96 MiB/s, 平均速率: 1.30 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 51 ms, 最高速率: 13.28 MiB/s, 平均速率: 9.46 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 2, IPv4: 6, IPv6: 0, 最小延迟: 78 ms, 最高速率: 2.08 MiB/s, 平均速率: 1.30 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 1, IPv4: 6, IPv6: 0, 最小延迟: 71 ms, 最高速率: 6.42 MiB/s, 平均速率: 6.42 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 68 ms, 最高速率: 7.48 MiB/s, 平均速率: 5.86 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 52 ms, 最高速率: 10.24 MiB/s, 平均速率: 5.35 MiB/s, 最高分辨率: 1280x720, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 77 ms, 最高速率: 3.00 MiB/s, 平均速率: 1.76 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 77 ms, 最高速率: 1.52 MiB/s, 平均速率: 1.48 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 26.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-14, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 77 ms, 最高速率: 1.63 MiB/s, 平均速率: 1.04 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-15, 有效: 0, IPv4: 6, IPv6: 0, 最小延迟: 214 ms, 最高速率: 0.42 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-16, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 214 ms, 最高速率: 0.00 MiB/s, 平均速率: 0.00 MiB/s, 最高分辨率: —, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CCTV-17, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 78 ms, 最高速率: 4.73 MiB/s, 平均速率: 4.73 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
