🕘️更新时间,#genre#
2026-08-14 00:27:04,http://74.91.26.218:82/live/cctv1hd.m3u8

📺央视频道,#genre#
CCTV-1,http://74.91.26.218:82/live/cctv1hd.m3u8
CCTV-1,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv1&zy.m3u8
CCTV-1,http://69.30.245.50/live/cctv1.m3u8
CCTV-1,http://www.frankgb.cn:4022/udp/239.49.8.19:9614
CCTV-2,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv2&zy.m3u8
CCTV-2,http://74.91.26.218:82/live/cctv2hd.m3u8
CCTV-2,http://www.frankgb.cn:4022/udp/239.49.8.50:9802
CCTV-3,http://74.91.26.218:82/live/cctv3hd.m3u8
CCTV-3,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv3&zy.m3u8
CCTV-3,http://www.frankgb.cn:4022/udp/239.49.8.74:8000
CCTV-4,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv4&zy.m3u8
CCTV-4,http://74.91.26.218:82/live/cctv4hd.m3u8
CCTV-4,http://www.frankgb.cn:4022/udp/239.49.8.51:9806
CCTV-5,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5&zy.m3u8
CCTV-5,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=7da5916b954c950b97e13ccf2ac021
CCTV-5,http://www.frankgb.cn:4022/udp/239.49.8.75:8000
CCTV-5+,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv5p&zy.m3u8
CCTV-5+,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=af0265c0bcc4e8188699132b7b2437
CCTV-5+,http://www.frankgb.cn:4022/udp/239.49.8.18:9610
CCTV-6,http://69.30.245.50/live/cctv6.m3u8
CCTV-6,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=48ecdb857dce0c41d4b656e71a6ab5
CCTV-6,http://www.frankgb.cn:4022/udp/239.49.8.76:8000
CCTV-6,https://live.eac-news.com/CCTV/streams/cctv6.m3u8
CCTV-7,http://74.91.26.218:82/live/cctv7hd.m3u8
CCTV-7,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv7&zy.m3u8
CCTV-7,http://www.frankgb.cn:4022/udp/239.49.0.126:8000
CCTV-8,http://74.91.26.218:82/live/cctv8hd.m3u8
CCTV-8,http://live.bypbwxx.top/live/zhibojm-yangshi.php?token=8b2672c94a971ead22fc71bb08f03d
CCTV-8,http://www.frankgb.cn:4022/udp/239.49.8.77:8000
CCTV-9,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv9&zy.m3u8
CCTV-9,http://www.frankgb.cn:4022/udp/239.49.8.53:9814
CCTV-9,https://xykt-fix.github.io/Y77.m3u8
CCTV-10,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv10&zy.m3u8
CCTV-10,http://74.91.26.218:82/live/cctv10hd.m3u8
CCTV-10,http://www.frankgb.cn:4022/udp/239.49.8.54:9818
CCTV-11,http://74.91.26.218:82/live/cctv11hd.m3u8
CCTV-11,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv11&zy.m3u8
CCTV-11,http://www.frankgb.cn:4022/udp/239.49.0.127:8000
CCTV-12,http://74.91.26.218:82/live/cctv12hd.m3u8
CCTV-12,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv12&zy.m3u8
CCTV-12,http://www.frankgb.cn:4022/udp/239.49.8.55:9822
CCTV-13,http://74.91.26.218:82/live/cctv13hd.m3u8
CCTV-13,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv13&zy.m3u8
CCTV-13,http://www.frankgb.cn:4022/udp/239.49.8.109:8000
CCTV-14,http://74.91.26.218:82/live/cctv14hd.m3u8
CCTV-14,http://110.42.52.180:6688/live/live.php?token=1yeiVihw&id=cctv14
CCTV-14,http://www.frankgb.cn:4022/udp/239.49.8.56:9826
CCTV-15,http://www.frankgb.cn:4022/udp/239.49.0.128:8000
CCTV-15,https://xykt-fix.github.io/play/a02e/index.m3u8
CCTV-16,http://www.frankgb.cn:4022/udp/239.49.8.31:8000
CCTV-17,http://74.91.26.218:82/live/cctv17hd.m3u8
CCTV-17,http://www.frankgb.cn:4022/udp/239.49.8.52:9810

📡卫视频道,#genre#
广东卫视,http://183.129.255.66:8480/hls/31/index.m3u8
广东卫视,http://www.frankgb.cn:4022/udp/239.49.8.13:9422
香港卫视,http://webcast.hkstv.tv/livestream/mutfysrq/playlist.m3u8
浙江卫视,http://183.129.255.66:8480/hls/27/index.m3u8
浙江卫视,http://ali-xwl.cztv.com/live/channel4k2160p.m3u8
浙江卫视,http://www.frankgb.cn:4022/udp/239.49.8.20:9618
